Symbol	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18
ENSG00000000003	0	0	0	0	2	0	2	0	2	2	2	1	1	4	2	1	3	1	81	77	66	4	7	4	31	17	25	4	5	4	21	36	30	4	2	1
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	615	399	393	1584	1957	1752	1574	1126	994	1934	1467	1042	1057	757	934	1192	1337	1000	398	400	351	481	593	528	388	222	410	603	1055	1009	900	925	675	588	755	542
ENSG00000000457	234	182	210	242	247	180	202	153	166	250	189	127	205	143	267	183	200	150	156	195	180	154	216	189	130	65	154	187	172	201	154	228	170	157	171	169
ENSG00000000460	265	195	210	641	602	584	473	322	278	681	550	388	299	242	408	544	644	498	42	57	34	301	408	341	109	40	97	378	441	442	195	250	172	361	482	407
ENSG00000000938	2036	1582	1664	1584	1677	1386	2425	1758	1854	1908	1601	1409	2712	1967	3333	1596	2084	1544	262	299	286	201	232	201	234	67	191	246	195	254	250	315	234	207	295	241
ENSG00000000971	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001036	148	125	132	170	175	140	201	153	141	139	108	87	153	125	165	97	128	106	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000001084	861	691	682	909	852	771	792	592	556	792	617	497	791	522	934	668	802	565	760	836	782	448	743	596	390	150	415	639	622	737	405	546	408	576	752	607
ENSG00000001167	690	483	514	805	792	678	825	643	561	777	550	540	745	566	915	661	849	619	722	893	794	849	1274	996	715	328	792	1123	1021	1112	856	1055	791	1067	1322	1044
ENSG00000001460	149	114	121	191	187	140	138	110	77	135	116	91	163	120	179	150	164	137	67	72	79	103	134	129	57	16	69	108	119	103	94	122	75	80	150	109
ENSG00000001461	1106	955	987	713	637	579	721	474	496	560	448	383	916	618	1291	442	606	436	886	997	941	745	1122	875	766	254	778	959	776	936	849	960	778	879	1193	905
ENSG00000001497	989	814	883	1500	1597	1270	1106	778	738	1482	1148	1046	1024	708	1330	1350	1767	1262	619	729	627	756	1152	933	626	256	627	1118	987	1154	578	787	630	1112	1547	1259
ENSG00000001561	683	465	522	514	586	597	803	672	569	655	517	339	703	445	797	415	502	301	134	135	124	89	130	99	105	55	98	109	139	138	181	214	137	100	110	88
ENSG00000001617	17	10	12	3	1	4	5	4	3	3	0	0	7	2	6	0	2	1	6	3	7	16	16	14	7	0	8	16	7	15	10	17	19	13	24	18
ENSG00000001626	21	16	17	1	0	2	5	1	3	0	0	1	7	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	1731	1382	1507	1395	1281	1173	1478	1099	996	1241	1133	852	1486	971	2106	1029	1275	940	1129	1271	1170	781	1338	1079	848	394	884	1240	1015	1145	1039	1382	1065	985	1370	1004
ENSG00000001630	459	261	349	340	276	288	317	237	191	286	242	215	456	284	643	189	373	220	31	28	52	64	105	81	48	28	50	99	67	73	68	82	64	75	111	84
ENSG00000001631	444	420	425	407	441	426	462	352	299	379	377	239	426	322	635	342	433	257	620	694	605	584	832	726	478	215	507	794	722	749	636	818	620	607	879	668
ENSG00000002016	121	117	100	116	115	109	142	106	98	130	95	86	117	99	169	95	144	100	391	407	388	182	322	262	209	93	213	272	275	266	259	330	242	236	343	267
ENSG00000002079	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000002330	322	188	209	530	431	556	555	368	293	456	366	423	460	274	296	243	446	419	332	446	381	472	613	340	293	135	385	412	542	413	517	669	419	546	563	542
ENSG00000002549	1369	968	1087	2354	2446	2131	2409	1638	1410	2570	1970	1515	1611	1300	1720	1879	2467	1734	1496	1545	1446	1913	2571	2276	1763	744	1895	2487	3116	3193	2237	2702	1903	2518	3122	2556
ENSG00000002586	144	74	88	139	124	121	175	130	124	116	108	88	189	149	180	78	118	105	3833	4492	3836	2753	3673	2916	3643	1471	4002	2789	2835	3207	3622	4994	3418	2441	3123	2544
